30240,"Addison-Blue",Blue,11 , 18 , 26 , 27 , 22 , 21 , 20 , 20 , 21 , 22 , 22 , 22 , 22 , 20 , 18 , 18 , 17 , 16 , 13 , 30 , 70 , 70 , 47 , 49 , 31 , 72 , 61 , 154 , 93 , 156 , 207 , 134 , 172 , 103 , 49 , 74 , 18 , 1
30013,"Belmont-Blue",Blue,11 , 17 , 25 , 28 , 22 , 21 , 20 , 20 , 20 , 22 , 22 , 22 , 22 , 21 , 19 , 18 , 17 , 16 , 13 , 126 , 70 , 45 , 34 , 78 , 11 , 67 , 65 , 136 , 73 , 174 , 154 , 135 , 141 , 31 , 38 , 195 , 16 , 49
30198,"Logan Square",Blue,10 , 17 , 24 , 28 , 24 , 21 , 20 , 20 , 20 , 22 , 22 , 22 , 22 , 21 , 19 , 17 , 16 , 15 , 15 , 40 , 40 , 50 , 52 , 57 , 17 , 101 , 83 , 125 , 87 , 139 , 170 , 142 , 141 , 65 , 27 , 311 , 15 , 109
30112,"California-O'Hare",Blue,10 , 17 , 24 , 28 , 23 , 21 , 20 , 20 , 21 , 22 , 22 , 22 , 22 , 21 , 19 , 17 , 16 , 15 , 15 , 96 , 48 , 50 , 61 , 48 , 78 , 75 , 107 , 184 , 185 , 172 , 175 , 105 , 139 , 64 , 36 , 121 , 17 , 0
30130,"Western-O'Hare",Blue,10 , 16 , 24 , 29 , 23 , 21 , 20 , 20 , 21 , 21 , 22 , 22 , 22 , 22 , 19 , 17 , 16 , 15 , 15 , 153 , 87 , 55 , 81 , 51 , 51 , 24 , 73 , 117 , 253 , 143 , 146 , 154 , 151 , 111 , 3 , 102 , 15 , 0
30116,"Damen-O'Hare",Blue,8 , 17 , 23 , 29 , 23 , 21 , 20 , 20 , 20 , 22 , 22 , 22 , 22 , 21 , 19 , 18 , 17 , 16 , 13 , 164 , 126 , 39 , 61 , 114 , 64 , 27 , 87 , 131 , 178 , 97 , 160 , 158 , 136 , 168 , 18 , 120 , 5 , 173
30063,"Division",Blue,8 , 17 , 23 , 29 , 23 , 21 , 20 , 20 , 20 , 22 , 22 , 22 , 22 , 21 , 19 , 18 , 17 , 16 , 13 , 171 , 104 , 48 , 62 , 142 , 84 , 14 , 77 , 133 , 161 , 89 , 152 , 190 , 150 , 200 , 9 , 116 , 19 , 149
30272,"Chicago-Blue",Blue,8 , 16 , 23 , 29 , 23 , 22 , 20 , 20 , 20 , 22 , 22 , 22 , 22 , 21 , 19 , 18 , 17 , 16 , 13 , 114 , 89 , 115 , 61 , 128 , 83 , 114 , 64 , 112 , 153 , 130 , 147 , 197 , 121 , 192 , 29 , 113 , 21 , 96
30096,"Grand-Blue",Blue,8 , 15 , 23 , 28 , 24 , 21 , 20 , 20 , 21 , 21 , 22 , 22 , 22 , 22 , 20 , 17 , 17 , 15 , 14 , 107 , 100 , 85 , 33 , 116 , 79 , 47 , 89 , 83 , 104 , 81 , 146 , 196 , 128 , 197 , 5 , 95 , 15 , 92
30374,"Clark/Lake (Subway)",Blue,7 , 16 , 21 , 29 , 25 , 21 , 20 , 20 , 20 , 22 , 22 , 22 , 22 , 22 , 20 , 17 , 16 , 15 , 15 , 117 , 127 , 87 , 72 , 121 , 85 , 124 , 109 , 87 , 119 , 121 , 147 , 192 , 132 , 178 , 0 , 103 , 14 , 86
