"Dempster",FF522398,6 , 10 , 15 , 13 , 13 , 13 , 13 , 14 , 14 , 14 , 15 , 17 , 16 , 14 , 15 , 12 , 12 , 12 , 12 , 0 , 8 , 79 , 26 , 43 , 23 , 63 , 22 , 17 , 52 , 44 , 60 , 161 , 49 , 55 , 11 , 14 , 7 , 27
"Main",FF522398,5 , 11 , 14 , 14 , 12 , 14 , 13 , 14 , 14 , 14 , 15 , 17 , 16 , 13 , 15 , 13 , 12 , 12 , 12 , 10 , 26 , 67 , 24 , 62 , 73 , 97 , 18 , 10 , 68 , 117 , 139 , 113 , 85 , 66 , 0 , 0 , 0 , 31
"South Boulevard",FF522398,5 , 11 , 14 , 14 , 12 , 14 , 13 , 14 , 14 , 14 , 14 , 18 , 15 , 14 , 15 , 13 , 12 , 12 , 12 , 15 , 29 , 57 , 23 , 52 , 0 , 93 , 20 , 0 , 28 , 104 , 130 , 153 , 98 , 53 , 103 , 0 , 0 , 0
"O'Hare",FF00A1DE,13 , 20 , 28 , 24 , 21 , 20 , 20 , 20 , 21 , 22 , 22 , 22 , 22 , 20 , 18 , 17 , 16 , 15 , 13 , 23 , 36 , 41 , 113 , 102 , 33 , 23 , 25 , 23 , 41 , 83 , 47 , 28 , 43 , 32 , 22 , 22 , 22 , 22
"Rosemont",FF00A1DE,15 , 19 , 28 , 24 , 23 , 20 , 20 , 20 , 21 , 22 , 22 , 22 , 22 , 20 , 18 , 17 , 16 , 15 , 13 , 0 , 51 , 61 , 60 , 69 , 0 , 0 , 91 , 17 , 21 , 23 , 156 , 9 , 0 , 0 , 56 , 37 , 112 , 13
"Cumberland",FF00A1DE,15 , 19 , 27 , 24 , 22 , 21 , 20 , 20 , 20 , 22 , 22 , 22 , 22 , 21 , 19 , 17 , 16 , 15 , 13 , 3 , 117 , 41 , 114 , 92 , 23 , 0 , 43 , 25 , 0 , 229 , 81 , 89 , 53 , 0 , 46 , 30 , 251 , 24
"Harlem-O'Hare",FF00A1DE,14 , 18 , 28 , 25 , 21 , 20 , 20 , 20 , 21 , 22 , 22 , 22 , 22 , 20 , 18 , 18 , 17 , 16 , 13 , 0 , 77 , 55 , 57 , 47 , 38 , 44 , 96 , 6 , 188 , 169 , 58 , 189 , 38 , 0 , 37 , 26 , 227 , 41
"Jefferson Park",FF00A1DE,13 , 17 , 26 , 28 , 22 , 21 , 20 , 20 , 20 , 22 , 22 , 22 , 22 , 21 , 19 , 17 , 16 , 15 , 15 , 116 , 106 , 56 , 76 , 66 , 115 , 15 , 65 , 92 , 134 , 116 , 68 , 171 , 89 , 191 , 79 , 21 , 291 , 154
"Montrose-Blue",FF00A1DE,12 , 18 , 26 , 27 , 23 , 21 , 20 , 20 , 20 , 22 , 22 , 22 , 22 , 21 , 19 , 17 , 16 , 15 , 13 , 116 , 106 , 56 , 57 , 63 , 115 , 15 , 65 , 92 , 138 , 273 , 126 , 151 , 89 , 191 , 79 , 41 , 271 , 166
"Irving Park-Blue",FF00A1DE,12 , 18 , 25 , 28 , 23 , 20 , 20 , 20 , 21 , 22 , 22 , 22 , 22 , 21 , 19 , 17 , 16 , 15 , 13 , 76 , 143 , 70 , 60 , 42 , 59 , 8 , 75 , 94 , 200 , 99 , 88 , 144 , 74 , 54 , 187 , 44 , 260 , 156
